,month,max_rainfall,total_rainfall,avg_temp,min_temp,max_temp
0,1,19.9,90.13,21.604173067076278,15.21,25.64
1,2,9.38,47.8,23.3650337078652,15.48,27.98
2,3,15.05,138.75999999999996,26.62178699436757,19.93,30.62
3,4,22.08,253.17999999999986,29.54176190476188,24.56,33.57
4,5,68.71,924.6300000000005,30.614060419866863,25.97,34.54
5,6,320.34,7648.490000000001,28.366693121693157,23.69,33.15
6,7,132.59,9090.169999999998,26.074577572964685,23.24,29.94
7,8,96.67,7471.990000000005,25.362027649769658,22.92,27.95
8,9,122.58,8898.799999999994,25.781888888888858,22.62,29.24
9,10,78.12,3874.59,26.13837173579112,22.3,29.86
10,11,109.64,1447.0699999999997,24.009042328042298,18.75,28.06
11,12,42.28,355.51999999999987,22.056123911930403,16.57,26.2
