,year,month,max_rainfall,total_rainfall,avg_temp,min_temp,max_temp
0,1952,1,0.0,0.0,22.002258064516123,20.48,24.19
1,1952,2,0.48,0.48,24.064137931034484,21.52,25.85
2,1952,3,0.0,0.0,25.797741935483867,22.78,29.14
3,1952,4,3.5,4.18,29.878,27.34,31.44
4,1952,5,1.04,1.06,31.059677419354838,29.6,32.96
5,1952,6,33.91,112.57000000000001,28.26566666666666,25.37,30.78
6,1952,7,114.41,222.39,26.131612903225804,24.24,28.24
7,1952,8,8.59,66.16,24.986129032258066,23.32,25.56
8,1952,9,5.18,13.719999999999999,25.763666666666666,25.22,26.42
9,1952,10,14.33,32.48,26.470000000000002,23.18,28.12
10,1952,11,0.0,0.0,22.704000000000004,21.38,23.87
11,1952,12,0.13,0.13,23.27064516129032,21.21,25.02
12,1953,1,0.0,0.0,21.70064516129033,18.66,24.16
13,1953,2,0.0,0.0,24.717500000000005,20.62,27.42
14,1953,3,0.0,0.0,27.605806451612906,24.23,29.12
15,1953,4,2.4,5.26,29.643000000000004,27.14,31.14
16,1953,5,3.55,3.5599999999999996,30.289032258064505,29.56,31.71
17,1953,6,21.25,90.68,28.333000000000002,25.0,31.14
18,1953,7,8.07,53.71999999999999,26.018709677419352,24.01,27.29
19,1953,8,19.74,140.74,25.110967741935486,23.66,25.96
20,1953,9,20.3,67.72,25.667333333333325,24.74,26.72
21,1953,10,73.43,135.45000000000002,26.229999999999993,25.4,27.76
22,1953,11,0.0,0.0,23.767333333333333,21.72,26.04
23,1953,12,0.0,0.0,21.917741935483864,20.92,22.82
24,1954,1,1.03,1.15,21.031935483870967,18.2,24.57
25,1954,2,0.23,0.26,24.384285714285717,21.36,27.52
26,1954,3,5.23,12.07,26.857096774193543,24.76,29.04
27,1954,4,0.65,0.99,29.53533333333333,26.93,32.75
28,1954,5,4.61,6.4,30.62838709677419,29.31,31.6
29,1954,6,22.69,102.8,27.671,23.93,30.46
30,1954,7,45.85,163.17,25.746129032258064,23.4,27.34
31,1954,8,23.26,63.890000000000015,25.423548387096766,24.22,27.02
32,1954,9,76.22,217.83999999999997,24.39699999999999,22.62,25.66
33,1954,10,0.45,1.1700000000000002,24.80709677419355,22.86,26.6
34,1954,11,0.0,0.0,22.905333333333335,21.53,23.69
35,1954,12,15.33,17.25,21.83354838709678,18.64,24.28
36,1955,1,0.05,0.05,22.172258064516125,19.24,24.0
37,1955,2,0.0,0.0,24.29107142857143,19.91,27.19
38,1955,3,1.69,2.3499999999999996,27.34258064516129,22.62,29.72
39,1955,4,3.93,5.15,28.761333333333337,25.63,31.7
40,1955,5,3.35,4.57,30.635483870967747,28.38,32.58
41,1955,6,7.32,43.839999999999996,28.110666666666667,24.19,31.95
42,1955,7,10.84,58.97999999999999,26.113870967741942,25.04,27.14
43,1955,8,18.59,104.17,24.805806451612902,23.63,25.4
44,1955,9,25.33,129.54000000000002,25.53833333333333,23.68,27.22
45,1955,10,36.85,200.26000000000002,25.402258064516122,22.99,26.64
46,1955,11,1.94,1.94,22.235999999999997,20.34,26.18
47,1955,12,0.0,0.0,21.58322580645161,20.05,22.96
48,1956,1,2.97,2.97,21.77387096774193,20.36,23.24
49,1956,2,0.0,0.0,23.050689655172413,19.38,26.82
50,1956,3,0.0,0.0,27.43387096774193,25.34,30.28
51,1956,4,0.49,0.49,30.127666666666666,26.68,32.08
52,1956,5,13.02,42.910000000000004,29.48580645161291,26.72,31.38
53,1956,6,11.19,39.21,27.503000000000004,25.36,29.7
54,1956,7,29.5,161.59,24.762903225806447,23.39,26.28
55,1956,8,76.85,234.86999999999998,24.72612903225806,23.26,26.16
56,1956,9,21.21,111.07000000000001,24.987,22.81,27.22
57,1956,10,36.29,191.0,25.332258064516136,23.68,26.64
58,1956,11,65.98,112.82000000000001,23.482666666666663,20.11,25.35
59,1956,12,0.16,0.2,21.609999999999996,19.76,23.74
60,1957,1,0.04,0.08,21.85870967741935,20.02,24.94
61,1957,2,0.0,0.0,22.173214285714288,18.06,24.76
62,1957,3,0.36,0.7,25.10225806451612,20.79,27.28
63,1957,4,7.01,12.040000000000003,29.270666666666664,26.03,31.33
64,1957,5,3.44,6.18,30.55516129032258,28.46,31.78
65,1957,6,32.44,162.71,29.128666666666664,24.86,31.11
66,1957,7,11.83,57.27,26.06709677419356,23.97,28.1
67,1957,8,15.21,79.92,25.36193548387097,24.66,26.32
68,1957,9,32.9,85.36,25.833333333333325,24.62,27.04
69,1957,10,8.98,16.71,26.53516129032258,23.96,28.32
70,1957,11,12.17,30.839999999999996,24.54199999999999,22.12,26.46
71,1957,12,0.0,0.0,23.188064516129035,21.48,24.16
72,1958,1,2.74,3.23,22.40677419354839,20.73,24.1
73,1958,2,0.0,0.0,23.302500000000006,21.9,25.38
74,1958,3,0.5,0.64,26.751290322580644,22.66,30.0
75,1958,4,4.23,14.73,29.860666666666663,28.07,32.48
76,1958,5,3.98,6.07,31.01290322580645,28.24,33.06
77,1958,6,20.36,64.15,29.623666666666665,26.18,31.62
78,1958,7,51.46,261.1099999999999,25.787419354838708,23.86,27.07
79,1958,8,15.87,132.63,25.512903225806447,23.08,27.2
80,1958,9,19.75,68.99000000000001,25.379999999999995,23.72,26.36
81,1958,10,10.47,25.18,25.896451612903224,24.5,28.14
82,1958,11,7.18,19.85,24.602666666666668,22.04,26.04
83,1958,12,0.0,0.0,22.588064516129037,20.38,24.68
84,1959,1,2.69,2.69,22.217419354838714,18.59,24.62
85,1959,2,0.0,0.0,23.657857142857136,19.54,26.59
86,1959,3,0.0,0.0,27.35612903225806,24.61,29.86
87,1959,4,2.63,7.920000000000001,29.981333333333335,27.74,33.57
88,1959,5,6.67,17.479999999999997,31.405806451612897,30.06,32.94
89,1959,6,45.86,91.47999999999999,28.672,26.2,30.53
90,1959,7,19.34,136.77999999999997,25.568064516129024,24.2,27.1
91,1959,8,20.34,94.15,25.065806451612907,23.94,26.36
92,1959,9,28.61,98.64,25.372333333333327,23.24,26.74
93,1959,10,25.95,87.25999999999999,25.276451612903223,23.53,26.86
94,1959,11,15.38,35.05,24.060000000000006,21.98,26.6
95,1959,12,0.02,0.02,22.93612903225806,20.56,24.68
96,1960,1,0.27,0.43000000000000005,21.95354838709678,19.86,24.0
97,1960,2,0.0,0.0,24.688275862068963,22.52,27.3
98,1960,3,0.16,0.16,26.04516129032259,22.22,29.32
99,1960,4,0.59,0.59,30.028333333333332,27.8,31.75
100,1960,5,12.42,47.07,30.873548387096772,28.2,32.74
101,1960,6,18.33,74.39999999999998,28.079666666666665,25.28,30.16
